,X,KeySignatureConfidence,Tempo,TimeSignature,TimeSignatureConfidence,Title,Year,ArtistFamiliarity,Hotness,end_of_fade_in,key,Loudness,mode,mode_confidence,rank,hit
51,51,1,167.969,1,0.023,lullaby,1999,0.571139223,0.398650869,0.224,10,-21.411,1,1,46,1
52,52,0.018,143.034,4,1,renegade,1979,0.651981429,0.441646964,0,5,-2.82,1,0.404,67,0
53,53,0.674,96.992,4,0.938,my life,2008,0.565886456,0.370959984,0,11,-5.442,0,0.526,88,0
54,54,0.557,169.943,1,0,here we are,1990,0.565452292,0.352410127,0.485,7,-6.986,1,0.759,74,0
55,55,0.499,244.419,3,0.744,you got it all,1987,0.617683359,0.489293663,2.159,0,-5.391,1,0.419,43,1
56,56,0.627,114.954,1,0,new sensation,1988,0.818319359,0.667294596,0,4,-14.309,1,0.355,65,0
57,57,0.881,109.932,4,0.827,slip away,1968,0.579232704,0.366538637,0.46,7,-14.641,1,0.923,44,1
58,58,0.814,63.973,4,1,the rose,1980,0.685244285,0.508814089,0.136,0,-14.212,1,0.774,10,1
59,59,0.473,90.73,4,0.945,homeward bound,1966,0.511024641,0.388625335,0.316,10,-13.085,1,0.554,56,0
60,60,0.795,151.969,4,0.574,rain,1993,0.34814875,0,0,10,-5.787,1,0.722,67,0
62,62,0.167,93.875,4,0.846,lullaby,1999,0.847538546,0.592380724,0.99,9,-4.476,1,0.598,46,1
63,63,0.23,138.882,4,0,the way we were,1974,0.529362423,0.434029362,0.424,7,-8.494,1,0.405,1,1
64,64,0.718,120.42,1,0,one hell of a woman,1974,0.509492762,0.330251664,3.982,9,-15.146,1,0.512,10,1
65,65,0.039,121.986,4,0.964,one of these nights,1975,0.534834289,0.35558967,3.64,10,-5.76,1,0.266,9,1
66,66,0.727,121.155,1,0.228,another night,1995,0.674928149,0.487793712,0.377,5,-9.839,0,0.792,6,1
67,67,0.223,109.896,4,0.914,walk like an egyptian,1987,0.687549909,0.627258614,0,4,-9.448,1,0.384,1,1
69,69,0.249,121.989,1,0,runaway,1996,0.597902446,0.403954934,0,3,-3.376,1,0.381,84,0
70,70,0.306,86.116,1,1,over and over,2005,0.56183498,0.426037386,0.189,11,-11.011,0,0.373,48,1
71,71,0.117,115.282,3,1,julie do ya love me,1970,0.453434817,0.316397615,0.188,6,-5.111,0,0.336,29,1
72,72,0.19,100.82,4,0.697,killing me softly with his song,1973,0.473486936,0.219369575,0.537,4,-8.933,0,0.36,3,1
73,73,0.418,214.441,7,0.718,buffalo stance,1989,0.639298415,0.419425187,0.223,1,-10.463,1,0.438,36,1
74,74,0.098,86.36,3,0.759,money,1973,0.573446098,0.492011917,0.345,7,-7.185,1,0.375,92,0
75,75,0.266,130.426,4,0.276,dance with me,2001,0.415712131,0.239513667,0,7,-8.388,1,0.56,93,0
76,76,0,143.943,3,0.994,how long,1975,0.472728798,0,0,9,-5.396,0,0.143,57,0
77,77,0.268,91.832,4,0.963,just the two of us,1981,0.53249301,0.387286552,0,4,-9.794,1,0.546,18,1
79,79,0.712,85.322,1,0.169,forever,2010,0.892688611,0.830356766,0.2,11,-2.991,1,0.463,71,0
80,80,0.336,128.286,1,0,if you go,1994,0.408096771,0.3251768,0.363,0,-11.051,1,0.456,23,1
81,81,0.457,84.038,1,0.899,intuition,2003,0.535827808,0.372646461,0,0,-9.559,1,0.378,73,0
84,84,0.705,129.87,1,0,in the summertime,1970,0.681531151,0.408896033,0.16,2,-12.22,1,0.898,53,0
85,85,0.554,141.988,4,0,on and on,1977,0.337895494,0.314811104,3.64,11,-7.165,0,0.618,30,1
86,86,0.61,97.396,4,0.814,playboy,1968,0.621414328,0.443930193,2.914,1,-12.256,1,0.64,41,1
87,87,0.312,142.541,4,0,bad girls,1979,0.510462998,0.474678988,3.437,2,-11.663,1,0.413,2,1
89,89,0.089,132.654,1,0,incense and peppermints,1967,0.628356527,0.40671348,0.102,2,-7.245,1,0.591,23,1
90,90,0.5,136.966,4,0,i do,2002,0.594412032,0.398252409,0.38,0,-10.397,1,0.502,100,0
91,91,0.54,122.013,4,1,closer,2008,0.520295515,0.383648651,0,7,-7.991,0,0.575,20,1
92,92,0.394,134.587,4,0.547,upside down,1980,0.617875441,0.380009864,0,9,-5.942,1,0.329,18,1
93,93,0.598,102.984,4,0.895,rock steady,1987,0.696816892,0.482100019,0,7,-8.064,1,0.624,73,0
94,94,0.702,57.463,1,0,working in the coal mine,1966,0.509958581,0.389272159,0.247,10,-6.038,1,0.451,76,0
95,95,0.791,139.88,4,0.714,bad day,2006,0.45666051,0.383666425,0.432,2,-6.46,1,0.591,1,1
96,96,0.468,147.003,4,0.251,you and i,1983,0.496970465,0.360248518,0.833,7,-8.335,0,0.367,12,1
97,97,0.675,113.103,4,1,ready or not,1990,0.664761618,0.412704317,0.328,2,-7.11,1,0.686,54,0
98,98,0.028,130.193,4,0.569,all for you,2001,0.630379064,0.424670028,0,8,-8.876,1,0,3,1
99,99,0.309,131.999,5,1,3,2010,0.947327507,0.60725728,0,1,-6.278,1,0.409,69,0
100,100,0.426,127.07,1,0,sweet lady,1999,0.579714584,0.424507886,0,3,-4.909,1,0.489,43,1
101,101,0.499,101.885,1,0,i want you,2003,0.813107693,0.598473623,0.387,3,-8.318,0,0.575,95,0
102,102,0.456,90.689,3,0.615,delilah,1968,0.569860089,0.414667368,0,5,-12.936,1,0.531,66,0
103,103,0.639,171.055,4,0.709,paint it black,1966,0.745741568,0.558619833,0,4,-6.454,0,0.58,21,1
104,104,0.675,105.863,4,1,walk away from love,1976,0.467054185,0.374557926,0.189,10,-10.646,1,0.563,88,0
105,105,0.733,158.211,3,1,now and forever,1994,0.671992294,0.50241722,0.264,10,-5.798,1,0.694,25,1
106,106,0.442,126.146,4,0.369,sundown,1974,0.506741124,0.451987874,0.276,2,-6.613,1,0.567,27,1
107,107,0.689,116.293,4,1,i feel for you,1985,0.693887091,0.443512832,0.462,11,-7.642,1,0.608,5,1
108,108,0.615,127.96,4,0.809,slide,1999,0.488573401,0.368816273,0.071,2,-5.834,0,0.667,13,1
109,109,0.835,125.036,1,0.336,survivor,2001,0.67202264,0.421166236,0,2,-14.178,1,0.681,23,1
110,110,0.34,108.046,4,0.859,freedom,1985,0.31921094,0.225159586,0,7,-14.988,1,0.672,76,0
111,111,0.711,240.23,4,0.672,say it,1998,0.64228629,0.467899593,0.2,5,-14.564,1,0.488,45,1
112,112,0.797,166.997,4,0.666,give it to me,2007,0.674746068,0.457682857,0.454,5,-21.181,1,0.567,21,1
113,113,0.641,151.466,3,0.864,get up,2006,0.653602614,0.412100796,0.113,7,-6.828,1,0.589,80,0
114,114,0.688,137.101,4,0.447,come with me,1998,0.273703748,0.236570396,0,2,-6.13,1,0.726,47,1
115,115,0.551,85.731,1,0.584,freedom,1985,0.707204744,0.519636856,0.148,5,-6.304,0,0.592,76,0
116,116,0.564,123.123,4,0,breakaway,2005,0.628499286,0.463771782,0.171,2,-5.419,1,0.511,27,1
117,117,0.695,133.312,1,0,out of the blue,1988,0.620392056,0.390660523,0.347,0,-11.693,1,0.536,54,0
118,118,0.186,186.993,1,0,take on me,1985,0.59814943,0.451374826,0,6,-6.923,0,0.459,10,1
119,119,0.668,111.555,4,0.899,hold me,1982,0.27790004,0.116156134,0.357,2,-9.6,1,0.778,31,1
120,120,0.753,98.082,3,0.37,dont look back,1978,0.534479847,0.359907549,5.985,9,-14.774,1,0.54,93,0
121,121,0.539,123.976,4,0.5,you,2007,0.469712766,0.373658041,0,4,-6.485,0,0.555,40,1
122,122,0.276,186.285,4,0.978,lonely,2005,0.687483205,0.514206403,0.189,9,-5.863,0,0.346,44,1
123,123,0.044,71.597,4,0.444,dedicated to the one i love,1967,0.66229871,0.379137556,0.177,10,-11.539,1,0.325,62,0
124,124,0.004,127.365,1,0,miami,1999,0.311079253,0.161273402,0.351,3,-7.848,1,0.31,53,0
125,125,0.136,156.069,4,0.62,mirage,1967,0.474753943,0.346602948,0.292,11,-13.525,0,0.278,96,0
126,126,0.356,126.798,4,0.007,time after time,1998,0.558388525,0.456568766,0.3,0,-26.579,1,0.499,64,0
127,127,0.867,115.949,5,0.893,vogue,1990,0.162311436,0,1.403,1,-8.804,1,0.727,5,1
128,128,0.001,146.921,3,0.963,money maker,2007,0.627267324,0.377053074,0.252,7,-8.084,1,0.136,92,0
129,129,0.502,118.008,4,1,take me home,1986,0.587666134,0.379317012,0,1,-8.464,1,0.508,88,0
130,130,0.252,120.07,4,0.033,superstar,2008,0.628290857,0.36416381,0.288,10,-4.456,0,0.261,63,0
131,131,0.675,164.374,4,0.466,hold on,1995,0.708615635,0.444682626,0.926,7,-14.269,0,0.331,52,0
132,132,0.036,227.555,4,0.184,a very special love song,1974,0.375978176,0.290657621,2.125,0,-15.858,1,0.11,89,0
133,133,0.305,135.064,4,0,get back,2005,0.536808945,0.452972017,0.461,2,-10.432,1,0.321,77,0
134,134,1,89.584,1,0.395,do your thing,1969,0.574652074,0.424848136,0.247,2,-9.909,1,0.898,47,1
135,135,0,130.031,4,0,missing you,2001,0.558920058,0.385231543,0,11,-13.084,0,0.014,49,1
136,136,0.625,80.455,4,0.004,piece of my heart,1991,0.803810768,0.559925869,0,4,-10.561,1,0.548,84,0
137,137,0.207,159.757,5,0.887,drive,2001,0.733682184,0.560915885,0.339,2,-5.538,1,0.379,21,1
138,138,0,99.871,1,0.48,wonderful world,1965,0.66540365,0.491899937,0.119,9,-15.868,1,0.116,67,0
139,139,0.662,93.001,4,0.601,no one,2008,0.419312641,0.319651459,0,4,-8.723,1,0.431,3,1
140,140,0.82,121.013,4,0.334,last night,2007,0.51103019,0.354164535,0.142,0,-11.271,1,0.67,42,1
141,141,0.283,177.641,4,0.73,crazy,2006,0.65521722,0.448852476,0,11,-10.355,1,0.207,7,1
142,142,0.89,85.652,1,0.344,i believe,1995,0.581793766,0.401997543,2.339,4,-12.054,1,0.527,27,1
143,143,0.708,159.81,4,0.766,in the ghetto,1969,0.026119758,0,0,10,-10.415,1,0.695,35,1
144,144,0.027,142.231,4,0.691,war,1970,0.624683546,0.472539829,0,11,-4.836,0,0.301,5,1
145,145,0.071,140.051,1,0,always,1995,0.467436183,0.184768709,1.065,1,-4.137,1,0.287,17,1
146,146,0.827,117.043,3,0.941,angel,2003,0.777082426,0.553736196,0.138,11,-13.284,1,0.884,69,0
147,147,0.304,114.031,4,1,killing me softly with his song,1973,0.410372592,0,0,10,-10.24,0,0.459,3,1
148,148,0.618,140.483,5,0.848,broadway,2000,0.451802813,0.399775962,0,0,-12.664,1,0.65,84,0
149,149,0.655,115.38,3,0.689,evil ways,1970,0.534464352,0.368689373,0.518,5,-23.893,1,0.646,69,0
150,150,0.614,84.032,1,0.512,missing,1996,0.434900975,0.37254757,0,9,-7.329,0,0.542,12,1
151,151,0.192,132.33,1,0.064,lucy in the sky with diamonds,1975,0.620305452,0.463497773,2.392,2,-11.115,1,0.45,34,1
152,152,0.785,106.563,4,0.978,free ride,1973,0.740957723,0.473839751,0.165,8,-14.135,1,0.529,96,0
154,154,0.703,111.949,4,0.798,walk a mile in my shoes,1970,0.615823132,0.346991654,0,4,-9.063,1,0.723,97,0
155,155,0.511,139.992,4,0,fantasy,1996,0.325860092,0.272080971,0,6,-8.895,0,0.57,49,1
156,156,0.71,209.144,4,0,bitch,1997,0.488228545,0.310652112,0.078,2,-3.697,1,0.639,15,1
157,157,0.075,120.122,4,0.517,how low,2010,0.733498907,0.49194339,0.245,10,-15.413,1,0.309,36,1
158,158,0.177,124.013,4,0.735,wait for you,2007,0.821300035,0.500822447,9.009,2,-4.557,1,0.329,41,1
159,159,0.035,132.994,4,0,runaway,1996,0.695792974,0.475556822,0.597,11,-7.179,0,0.374,84,0
160,160,0.445,89.657,4,0.928,round and round,1991,0.811925813,0.614140285,0.206,4,-8.708,0,0.437,81,0
161,161,0.107,125.827,1,0.021,cowboys to girls,1968,0.685017577,0.504114015,0.863,4,-10.322,1,0.295,32,1
162,162,0.526,195.988,4,0.547,go your own way,1977,0.639251216,0.426893472,0.213,11,-5.275,1,0.39,94,0
163,163,0.142,194.172,3,1,music,2001,0.331086091,0.289482949,0.316,7,-6.155,1,0.291,83,0
164,164,0.414,126.265,4,0.548,love takes time,1991,0.847033971,0.787005469,0.136,11,-12.17,1,0.469,69,0
165,165,0.91,112.958,4,0.727,holiday,2005,0.60643258,0.489151366,0.095,2,-6.177,0,0.724,39,1
166,166,1,78.594,4,0,stay awhile,1971,0.449536909,0.324374426,0.227,3,-10.867,1,0.901,57,0
167,167,0.352,97.022,4,0.565,smile,2010,0.733714696,0.459665457,0.125,9,-8.299,0,0.345,97,0
168,168,0.591,91.084,4,0.686,rise,1980,0.450743178,0.33121499,3.1,2,-6.398,0,0.51,54,0
169,169,0.652,115.031,4,0.969,hold on,1995,0.569254391,0.3408674,0,9,-12.185,1,0.695,52,0
170,170,0.932,136,4,0.616,when you believe,1999,0.691605723,0.45783492,0.125,5,-10.097,1,0.789,99,0
171,171,0.498,178.012,4,0,i want to know what love is,1985,0.692901904,0.483891064,0.364,3,-8.49,0,0.545,4,1
172,172,0.197,152.005,4,1,lonely,2005,0.6292143,0.492224126,0.641,9,-4.346,0,0.32,44,1
173,173,0.384,114.102,4,0.693,you and me,2006,0.417853425,0.240017461,1.007,5,-4.152,1,0.501,83,0
174,174,0.176,103.019,4,1,unbelievable,1991,0.766790563,0.513740406,0.077,8,-5.639,0,0.258,6,1
175,175,1,146.308,5,1,constantly,1995,0.381906392,0.245723606,0.316,4,-8.981,1,0.226,80,0
176,176,0.015,86.678,5,0.608,party all the time,1986,0.710494897,0.432899566,0,8,-6.037,0,0.227,7,1
177,177,0.458,78.196,4,0.284,love so right,1977,0.521605559,0.367507304,0,6,-12.391,1,0.509,80,0
178,178,0.29,109.947,4,1,bad day,2006,0.548232233,0.401581153,9.822,1,-11.604,1,0.523,1,1
179,179,0.545,138.352,1,0,everyday,1994,0.599328242,0.426710244,0.565,8,-24.902,0,0.688,86,0
180,180,0.64,89.239,4,0.303,heaven,2004,0.420722776,0.316203903,0,9,-5.465,1,0.354,37,1
181,181,0.359,97.99,4,0.474,superman,2003,0.653937821,0.375470163,0.136,10,-10.555,0,0.405,98,0
182,182,0.551,163.929,4,0.416,yeah,2004,0.509131039,0.369745832,0,4,-9.117,0,0.561,1,1
183,183,0.056,88.973,4,1,feelings,1975,0.524694958,0.368067241,0,4,-3.584,0,0.206,45,1
184,184,0.447,132.892,4,0.398,if you love me,1995,0.506933336,0.33485127,0.48,7,-5.963,1,0.508,34,1
185,185,0.542,150.52,4,0,crazy,2006,0.575674036,0.431295635,0.229,3,-7.729,0,0.537,7,1
186,186,0.425,133.03,4,1,breakaway,2005,0.768833735,0.520752308,0,6,-3.68,1,0.442,27,1
187,187,0.153,127.26,3,0.835,shine,1994,0.490599605,0.318473151,0,10,-7.408,0,0.456,31,1
188,188,0.316,141.436,4,0,go the distance,1997,0.037134156,0,0.229,10,-9.622,1,0.381,89,0
189,189,0.431,144.99,4,0,i need you,2000,0.650219485,0.569460849,0,0,-2.213,1,0.26,44,1
190,190,0.445,233.241,5,1,50 ways to leave your lover,1976,0.6123855,0.473525421,0,0,-15.099,1,0.405,8,1
191,191,0.07,125.327,3,1,girlfriend,2007,0.693100208,0.582726255,0.096,7,-3.331,1,0.415,12,1
192,192,1,202.987,1,0.433,stir it up,1973,0.44743723,0.345197043,0.2,0,-6.626,1,0.704,91,0
193,193,0.357,96.904,4,0.389,fire,1979,0.756839732,0.568089179,0.232,5,-10.658,1,0.488,15,1
194,194,0.397,90.894,4,0.724,get down,1973,0.58329863,0.354574371,0.154,7,-6.875,1,0.417,66,0
195,195,0.772,143.577,4,0.093,the good stuff,2002,0.797208183,0.776492303,0.191,7,-8.176,1,0.708,82,0
196,196,0.304,44.185,4,0,hello again,1981,0.817635146,0.556020402,0,7,-17.319,1,0.831,70,0
197,197,0.016,101.771,4,0,i was made to love her,1967,0.823568205,0.600265108,2.02,10,-12.229,1,0.397,14,1
198,198,0.447,115.814,4,1,imaginary lover,1978,0.587929916,0.472485409,0,9,-5.404,0,0.565,51,0
201,201,0.491,108.109,4,1,i want you to want me,1979,0.802844102,0.518218119,0.112,0,-2.908,1,0.546,34,1
202,202,1,104.993,4,0.439,hold the line,1979,0.565109873,0.412558197,0.235,4,-5.007,0,0.729,44,1
203,203,0.462,43.211,4,0,misty,1975,0.575692299,0.366820788,0.357,5,-18.199,0,0.747,92,0
204,204,0.526,148.382,1,0,make it with you,1970,0.606975737,0.386289651,0.276,0,-12.692,1,0.478,13,1
205,205,0.241,100.777,4,1,dancing queen,1977,0.810241136,0.576638039,0.113,9,-6.988,1,0.402,12,1
206,206,0.221,101.044,4,0.999,get it together,1997,0.853124523,0.591628024,0,11,-8.127,1,0.195,48,1
207,207,0.016,131.894,4,0,i know,1995,0.59084858,0.411663221,0.067,1,-7.48,1,0.393,11,1
208,208,0.697,120.001,4,0.959,halo,2009,0.514397819,0.377913897,2.711,3,-15.576,0,0.594,24,1
209,209,0.87,0,3,0.909,respect yourself,1987,0.558797163,0.405372187,0.363,11,-8.336,0,0.683,89,0
210,210,0.389,186.755,1,0,feelings,1975,0.807149662,0.620115196,0.067,0,-5.221,1,0.474,45,1
212,212,0.861,129.546,4,0,believe,1999,0.541217688,0.332111424,0.189,8,-4.775,1,0.528,1,1
213,213,0.73,93.08,4,0.88,irresistible,2001,0.772518285,0.578790799,2.577,1,-6.288,0,0.49,63,0
214,214,0.587,116.864,4,0.869,fall in love with me,1983,0.782893259,0.534445727,2.444,7,-9.483,0,0.474,100,0
215,215,0.511,124.26,4,1,hello again,1981,0.533799551,0.411362037,0.194,0,-3.755,1,0.408,70,0
216,216,0.192,87.526,4,0.485,take the money and run,1976,0.497712588,0.407281321,0,2,-5.998,1,0.393,98,0
217,217,0.161,130.725,4,0.039,hungry,1966,0.558130342,0.370889043,2.891,1,-11.03,1,0.26,97,0
218,218,0.222,127.982,4,0,out of touch,1985,0.597287615,0.394950989,0,9,-7.689,0,0.285,6,1
219,219,1,105.097,4,0,one more time,1997,0.453424701,0.352751259,0.548,2,-16.998,1,0.788,90,0
220,220,0.091,106.753,5,0.558,breathe,2000,0.625115207,0.390095869,0.252,1,-9.539,1,0.344,1,1
221,221,0.481,100.404,4,1,love,2006,0.841570223,0.454161114,0.369,8,-8.439,0,0.475,93,0
223,223,0.693,114.39,4,1,gone,2002,0.877213746,1.082502557,0.08,10,-6.029,0,0.559,75,0
224,224,0.559,139.102,1,0.016,you,2007,0.465479026,0.356698702,0,3,-4.786,0,0.38,40,1
225,225,0.695,122.565,4,0,here we go again,1993,0.702797714,0.569861221,0.212,1,-5.449,1,0.467,59,0
226,226,0.226,174.059,4,0,call me,1980,0.620800577,0.443740316,0,8,-9.62,1,0.433,1,1
227,227,0.531,99.43,4,0.703,good times,1979,0.392860698,0.287810268,0.27,0,-8.554,0,0.327,20,1
229,229,0.646,126.664,4,0.125,amazing grace,1971,0.184250147,0,0.204,7,-9.237,1,0.4,80,0
230,230,0.446,128.943,1,0.236,casanova,1987,0.210085555,0.210587932,0.136,8,-10.48,1,0.549,71,0
231,231,0.675,131.899,4,0.621,sara,1986,0.424390289,0,0.972,10,-8.112,0,0.679,24,1
232,232,0,120.211,4,0.997,missing you,2001,0.36843634,0,0.322,2,-6.941,0,0.297,49,1
233,233,0.647,155.632,4,0.736,believe,1999,0.475795311,0.361166881,0.433,0,-7.669,1,0.553,1,1
234,234,0.853,128.505,5,1,steal away,1980,0.334743396,0,0,0,-16.188,1,0.713,26,1
235,235,0.639,86.006,4,0.791,joy to the world,1971,0.819322889,0.642042373,0,2,-8.377,1,0.921,1,1
237,237,0.501,165.845,4,0.412,i dont want to wait,1998,0.426416537,0.288168659,0.177,11,-4.913,1,0.448,10,1
238,238,0.561,166.199,4,0.458,games people play,1981,0.382308283,0.283562596,0,10,-13.482,0,0.428,66,0
239,239,0.033,114.998,4,0.64,this love,2004,0.905477001,0.843380274,0,10,-6.04,0,0.473,4,1
240,240,0.871,121.682,4,1,tonight,1984,0.549812667,0.351139369,0,0,-8.151,1,0.749,90,0
241,241,0.824,136.057,4,0.558,thinking of you,1989,0.456923485,0.287864066,0,0,-5.568,1,0.752,96,0
242,242,0.232,160.941,4,0.851,drive,2001,0.531864026,0.299392889,0,4,-5.924,0,0.488,21,1
243,243,0.835,85.335,5,0.666,shining star,1980,0.56658402,0.383024406,0,3,-3.492,0,0.444,22,1
244,244,0.314,97.039,4,1,heard it all before,2001,0.677276761,0.4546074,0.078,8,-3.209,0,0.298,64,0
245,245,0.53,140.011,4,0.796,everyday,1994,0.390496952,0,0.148,6,-6.206,0,0.652,86,0
246,246,0,86.667,3,0.799,saturday night,1976,0.623988465,0.433013696,0.247,10,-13.097,0,0,64,0
247,247,0.47,131.799,4,0.056,caught up in you,1982,0.697950737,0.488516473,0.276,1,-5.705,0,0.56,53,0
249,249,0.433,85.055,4,0.784,white flag,2004,0.787079686,0.55847555,2.543,5,-6.836,1,0.533,36,1
250,250,0.648,0,3,1,africa,1983,0.657747151,0.448522777,0.305,0,-11.016,1,0.641,24,1
251,251,0.493,155.687,4,0.116,wonderwall,1996,0.790558524,0.60709944,3.117,7,-14.9,0,0.878,56,0
252,252,0.482,89.936,5,0.239,feelings,1975,0.395314582,0.31904085,3.994,7,-14.275,1,0.628,45,1
253,253,0.59,85.021,4,0.63,addicted,2008,0.532323838,0.364656067,6.322,5,-11.731,0,0.58,97,0
254,254,0.689,69.761,7,0.921,the bells,1970,0.606387054,0.399023014,0.664,9,-22.799,0,0.588,82,0
256,256,0.062,137.342,4,0.161,solitaire,1983,0.569482204,0.30173917,8.075,7,-11.255,1,0.497,59,0
257,257,0.663,98.895,1,1,sorry,2008,0.505679431,0.304940065,0,11,-4.712,0,0.547,44,1
259,259,0.555,122.821,4,0.502,lonely boy,1977,0.592683784,0.389096708,0.2,9,-7.274,1,0.545,50,0
260,260,0.359,130.01,4,0,if you leave,1986,0.354182577,0.27234524,0,7,-6.42,1,0.489,53,0
261,261,0.335,140.744,4,0.541,the long and winding road,1970,0.531160553,0.350149075,0.618,2,-13.054,0,0.343,41,1
262,262,0.59,89.366,1,0.649,the second time around,1980,0.553737769,0.385108263,0.63,7,-15.488,1,0.605,44,1
264,264,0.84,114.231,4,0.614,everyday people,1969,0.650201006,0.473891311,1.257,7,-14.046,1,0.637,5,1
266,266,0,157.678,4,0,it was a good day,1993,0.838816274,0.558361764,0.114,4,-9.178,1,0.161,78,0
